#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
68;NFSe/infNFSe/IBSCBS/valores/;vCalcReeRepRes;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) não deve ser informado se o grupo de documentos referenciados que irão compor o valor não foi informado na DPS.;;Obrig.;Rej.;E1531;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) não deve ser informado.;1;V;V;V;V;-;;;
69;;;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser informado se o grupo de documentos referenciados que irão compor o valor foi informado na DPS.;;Obrig.;Rej.;E1533;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser informado.;1;V;V;V;V;-;;;
70;;;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser menor que o valor do serviço informado na DPS.;;Obrig.;Rej.;E1534;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser menor que o valor do serviço prestado.;1;V;V;V;V;-;;;
71;;;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser igual à soma dos valores de documentos referenciados informados na DPS.;;Obrig.;Rej.;E1535;O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) incorreto.;1;V;V;V;V;-;;;
72;NFSe/infNFSe/IBSCBS/valores/;uf;-;;-;-;-;-;-;-;-;-;-;-;;;
73;NFSe/infNFSe/IBSCBS/valores/uf/;pIBSUF;A alíquota da UF para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/pIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1539;Alíquota da UF para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
74;NFSe/infNFSe/IBSCBS/valores/uf/;pRedAliqUF;O percentual redutor de alíquota para o IBS estadual não deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS não possuir essa indicação.;;Obrig.;Rej.;E1540;O percentual redutor de alíquota para o IBS estadual não deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
75;;;O percentual redutor de alíquota para o IBS estadual deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS possuir essa indicação.;;Obrig.;Rej.;E1541;O percentual redutor de alíquota para o IBS estadual deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
76;;;O percentual redutor de alíquota para o IBS estadual informado deve ser o mesmo indicado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.;;Obrig.;Rej.;E1543;O percentual redutor de alíquota para o IBS estadual informado difere do indicado para o o código da classificação tributária - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
77;;;O percentual redutor de alíquota para o IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/gRed/pRedAliq retornado pela Calculadora;;Obrig.;Rej.;E1557;Percentual redutor de alíquota para o IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
78;NFSe/infNFSe/IBSCBS/valores/uf/;pAliqEfetUF;A alíquota efetiva da UF para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/gRed/pAliqEfet retornado pela Calculadora;;Obrig.;Rej.;E1577;Alíquota efetiva da UF para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
79;NFSe/infNFSe/IBSCBS/valores/;mun;-;;-;-;-;-;-;-;-;-;-;-;;;
