LISTA NACIONAL DE SERVIÇOS;;DETERMINAÇÃO DA LOCALIDADE DE INCIDÊNCIA (LI) DE ACORDO COM A LC 116/03;;;;GRUPOS DE INFORMAÇÕES PARA DETALHAMENTO DO SERVIÇO;
030304;Exploração de auditórios, casas de espetáculos e congêneres, para realização de eventos ou negócios de qualquer natureza.;X;-;-;X;-;X
030305;Exploração de parques de diversões e congêneres, para realização de eventos ou negócios de qualquer natureza.;X;-;-;X;-;X
030401;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia.;-;X;-;X;-;X
030402;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovia.;-;X;-;X;-;X
030403;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes, cabos, dutos e condutos de qualquer natureza.;-;X;-;X;-;X
030501;Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.;-;X;-;X;-;X
040101;Medicina.;X;-;-;X;-;X
040102;Biomedicina.;X;-;-;X;-;X
040201;Análises clínicas e congêneres.;X;-;-;X;-;X
040202;Patologia e congêneres.;X;-;-;X;-;X
040203;Eletricidade médica (eletroestimulação de nervos e musculos, cardioversão, etc) e congêneres.;X;-;-;X;-;X
040204;Radioterapia, quimioterapia e congêneres.;X;-;-;X;-;X
040205;Ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.;X;-;-;X;-;X
040301;Hospitais e congêneres.;X;-;-;X;-;X
040302;Laboratórios e congêneres.;X;-;-;X;-;X
040303;Clínicas, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.;X;-;-;X;-;X
040401;Instrumentação cirúrgica.;X;-;-;X;-;X
040501;Acupuntura.;X;-;-;X;-;X
040601;Enfermagem, inclusive serviços auxiliares.;X;-;-;X;-;X
040701;Serviços farmacêuticos.;X;-;-;X;-;X
040801;Terapia ocupacional.;X;-;-;X;-;X
040802;Fisioterapia.;X;-;-;X;-;X
040803;Fonoaudiologia.;X;-;-;X;-;X
040901;Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.;X;-;-;X;-;X
041001;Nutrição.;X;-;-;X;-;X
041101;Obstetrícia.;X;-;-;X;-;X
041201;Odontologia.;X;-;-;X;-;X
041301;Ortóptica.;X;-;-;X;-;X
041401;Próteses sob encomenda.;X;-;-;X;-;X
041501;Psicanálise.;X;-;-;X;-;X
041601;Psicologia.;X;-;-;X;-;X
041701;Casas de repouso e congêneres.;X;-;-;X;-;X
041702;Casas de recuperação e congêneres.;X;-;-;X;-;X
041703;Creches e congêneres.;X;-;-;X;-;X
041704;Asilos e congêneres.;X;-;-;X;-;X
041801;Inseminação artificial, fertilização in vitro e congêneres.;X;-;-;X;-;X
041901;Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.;X;-;-;X;-;X
042001;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.;X;-;-;X;-;X
042101;Unidade de atendimento, assistência ou tratamento móvel e congêneres.;X;-;-;X;-;X
042201;Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.;X;-;-;X;-;X
042301;Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.;X;-;-;X;-;X
050101;Medicina veterinária;X;-;-;X;-;X
050102;Zootecnia.;X;-;-;X;-;X
050201;Hospitais e congêneres, na área veterinária.;X;-;-;X;-;X
050202;Clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.;X;-;-;X;-;X
050301;Laboratórios de análise na área veterinária.;X;-;-;X;-;X
050401;Inseminação artificial, fertilização in vitro e congêneres.;X;-;-;X;-;X
050501;Bancos de sangue e de órgãos e congêneres.;X;-;-;X;-;X
050601;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.;X;-;-;X;-;X
050701;Unidade de atendimento, assistência ou tratamento móvel e congêneres.;X;-;-;X;-;X
050801;Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.;X;-;-;X;-;X
050901;Planos de atendimento e assistência médico-veterinária.;X;-;-;X;-;X
060101;Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.;X;-;-;X;-;X
060201;Esteticistas, tratamento de pele, depilação e congêneres.;X;-;-;X;-;X
060301;Banhos, duchas, sauna, massagens e congêneres.;X;-;-;X;-;X
060401;Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.;X;-;-;X;-;X
060501;Centros de emagrecimento, spa e congêneres.;X;-;-;X;-;X
060601;Aplicação de tatuagens, piercings e congêneres.;X;-;-;X;-;X
070101;Engenharia e congêneres.;X;-;-;X;-;X
070102;Agronomia e congêneres.;X;-;-;X;-;X
070103;Agrimensura e congêneres.;X;-;-;X;-;X
070104;Arquitetura, urbanismo e congêneres.;X;-;-;X;-;X
070105;Geologia e congêneres.;X;-;-;X;-;X
070106;Paisagismo e congêneres.;X;-;-;X;-;X
070201;Execução, por administração, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).;-;X;-;X;obra;X
070202;Execução, por empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).;-;X;-;X;obra;X
070301;Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia.;X;-;-;X;-;X
070302;Elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.;X;-;-;X;-;X
070401;Demolição.;-;X;-;X;obra;X
070501;Reparação, conservação e reforma de edifícios e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).;-;X;-;X;obra;X
070502;Reparação, conservação e reforma de estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).;-;X;-;X;obra;X
070601;Colocação e instalação de tapetes, carpetes, cortinas e congêneres, com material fornecido pelo tomador do serviço.;X;-;-;X;obra;X
070602;Colocação e instalação de assoalhos, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.;X;-;-;X;obra;X
070701;Recuperação, raspagem, polimento e lustração de pisos e congêneres.;X;-;-;X;obra;X
070801;Calafetação.;X;-;-;X;obra;X
070901;Varrição, coleta e remoção de lixo, rejeitos e outros resíduos quaisquer.;-;X;-;X;-;X
070902;Incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.;-;X;-;X;-;X
071001;Limpeza, manutenção e conservação de vias e logradouros públicos, parques, jardins e congêneres.;-;X;-;X;-;X
071002;Limpeza, manutenção e conservação de imóveis, chaminés, piscinas e congêneres.;-;X;-;X;-;X
071101;Decoração.;-;X;-;X;-;X
071102;Jardinagem, inclusive corte e poda de árvores.;-;X;-;X;-;X
071201;Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.;-;X;-;X;-;X
071301;Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.;X;-;-;X;-;X
071601;Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.;-;X;-;X;-;X
071701;Escoramento, contenção de encostas e serviços congêneres.;-;X;-;X;obra;X
071801;Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.;-;X;-;X;-;X
071901;Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.;-;X;-;X;obra;X
072001;Aerofotogrametria (inclusive interpretação), cartografia, mapeamento e congêneres.;X;-;-;X;-;X
072002;Levantamentos batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.;X;-;-;X;-;X
072003;Levantamentos topográficos e congêneres.;X;-;-;X;-;X
072101;Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.;X;-;-;X;-;X
072201;Nucleação e bombardeamento de nuvens e congêneres.;X;-;-;X;-;X
080101;Ensino regular pré-escolar, fundamental e médio.;X;-;-;X;-;X
080102;Ensino regular superior.;X;-;-;X;-;X
080201;Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.;X;-;-;X;-;X
090101;Hospedagem em hotéis, hotelaria marítima e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).;X;-;-;X;-;X
090102;Hospedagem em pensões, albergues, pousadas, hospedarias, ocupação por temporada com fornecimento de serviços e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).;X;-;-;X;-;X
090103;Hospedagem em motéis e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).;X;-;-;X;-;X
090104;Hospedagem em apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).;X;-;-;X;-;X
090201;Agenciamento e intermediação de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.;X;-;-;X;-;X
090202;Organização, promoção e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.;X;-;-;X;-;X
090301;Guias de turismo.;X;-;-;X;-;X
100101;Agenciamento, corretagem ou intermediação de câmbio.;X;-;-;X;-;X
100102;Agenciamento, corretagem ou intermediação de seguros.;X;-;-;X;-;X
100103;Agenciamento, corretagem ou intermediação de cartões de crédito.;X;-;-;X;-;X
100104;Agenciamento, corretagem ou intermediação de planos de saúde.;X;-;-;X;-;X
100105;Agenciamento, corretagem ou intermediação de planos de previdência privada.;X;-;-;X;-;X
100201;Agenciamento, corretagem ou intermediação de títulos em geral e valores mobiliários.;X;-;-;X;-;X
100202;Agenciamento, corretagem ou intermediação de contratos quaisquer.;X;-;-;X;-;X
100301;Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.;X;-;-;X;-;X
100401;Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing).;X;-;-;X;-;X
100402;Agenciamento, corretagem ou intermediação de contratos de franquia (franchising).;X;-;-;X;-;X
100403;Agenciamento, corretagem ou intermediação de faturização (factoring).;X;-;-;X;-;X
100501;Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, por quaisquer meios.;X;-;-;X;-;X
100502;Agenciamento, corretagem ou intermediação de bens móveis ou imóveis realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.;X;-;-;X;-;X
100601;Agenciamento marítimo.;X;-;-;X;-;X
100701;Agenciamento de notícias.;X;-;-;X;-;X
100801;Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.;X;-;-;X;-;X
100901;Representação de qualquer natureza, inclusive comercial.;X;-;-;X;-;X
101001;Distribuição de bens de terceiros.;X;-;-;X;-;X
110101;Guarda e estacionamento de veículos terrestres automotores.;-;X;-;X;-;X
110102;Guarda e estacionamento de aeronaves e de embarcações.;-;X;-;X;-;X
110201;Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.;-;X;-;X;-;X
110301;Escolta, inclusive de veículos e cargas.;X;-;-;X;-;X
110401;Armazenamento, depósito, guarda de bens de qualquer espécie.;-;X;-;X;-;X
110402;Carga, descarga, arrumação de bens de qualquer espécie.;-;X;-;X;-;X
110501;Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza.  ;X;-;-;X;-;X
120101;Espetáculos teatrais.;-;X;-;X;atvEvento;X
120201;Exibições cinematográficas.;-;X;-;X;atvEvento;X
120301;Espetáculos circenses.;-;X;-;X;atvEvento;X
120401;Programas de auditório.;-;X;-;X;atvEvento;X
120501;Parques de diversões, centros de lazer e congêneres.;-;X;-;X;atvEvento;X
120601;Boates, taxi-dancing e congêneres.;-;X;-;X;atvEvento;X
120701;Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.;-;X;-;X;atvEvento;X
120801;Feiras, exposições, congressos e congêneres.;-;X;-;X;atvEvento;X
120901;Bilhares.;-;X;-;X;atvEvento;X
120902;Boliches.;-;X;-;X;atvEvento;X
120903;Diversões eletrônicas ou não.;-;X;-;X;atvEvento;X
121001;Corridas e competições de animais.;-;X;-;X;atvEvento;X
121101;Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.;-;X;-;X;atvEvento;X
121201;Execução de música.;-;X;-;X;atvEvento;X
121301;Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.;X;-;-;X;atvEvento;X
121401;Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.;-;X;-;X;atvEvento;X
121501;Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.;-;X;-;X;atvEvento;X
121601;Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.;-;X;-;X;atvEvento;X
121701;Recreação e animação, inclusive em festas e eventos de qualquer natureza.;-;X;-;X;atvEvento;X
130201;Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.;X;-;-;X;-;X
130301;Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.;X;-;-;X;-;X
130401;Reprografia, microfilmagem e digitalização.;X;-;-;X;-;X
130501;Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.;X;-;-;X;-;X
140101;Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).;X;-;-;X;-;X
140201;Assistência técnica.;X;-;-;X;-;X
140301;Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).;X;-;-;X;-;X
140401;Recauchutagem ou regeneração de pneus.;X;-;-;X;-;X
140501;Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.;X;-;-;X;-;X
140601;Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.;X;-;-;X;-;X
140701;Colocação de molduras e congêneres.;X;-;-;X;-;X
140801;Encadernação, gravação e douração de livros, revistas e congêneres.;X;-;-;X;-;X
140901;Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.;X;-;-;X;-;X
141001;Tinturaria e lavanderia.;X;-;-;X;-;X
141101;Tapeçaria e reforma de estofamentos em geral.;X;-;-;X;-;X
141201;Funilaria e lanternagem.;X;-;-;X;-;X
141301;Carpintaria.;X;-;-;X;-;X
141302;Serralheria.;X;-;-;X;-;X
141401;Guincho intramunicipal.;-;X;-;X;-;X
141402;Guindaste e içamento.;-;X;-;X;-;X
141403;Guincho intramunicipal em construção civil.;-;X;-;X;obra;X
141404;Guindaste e içamento em construção civil.;-;X;-;X;obra;X
150101;Administração de fundos quaisquer e congêneres.;X;-;-;X;-;X
150102;Administração de consórcio e congêneres.;X;-;-;X;-;X
150103;Administração de cartão de crédito ou débito e congêneres.;X;-;-;X;-;X
150104;Administração de carteira de clientes e congêneres.;X;-;-;X;-;X
150105;Administração de cheques pré-datados e congêneres.;X;-;-;X;-;X
150201;Abertura de conta-corrente no País, bem como a manutenção da referida conta ativa e inativa.;X;-;-;X;-;X
150202;Abertura de conta-corrente no exterior, bem como a manutenção da referida conta ativa e inativa.;X;-;-;X;-;X
150203;Abertura de conta de investimentos e aplicação no País, bem como a manutenção da referida conta ativa e inativa.;X;-;-;X;-;X
150204;Abertura de conta de investimentos e aplicação no exterior, bem como a manutenção da referida conta ativa e inativa.;X;-;-;X;-;X
150205;Abertura de caderneta de poupança no País, bem como a manutenção da referida conta ativa e inativa.;X;-;-;X;-;X
150206;Abertura de caderneta de poupança no exterior, bem como a manutenção da referida conta ativa e inativa.;X;-;-;X;-;X
150207;Abertura de contas em geral no País, não abrangida em outro subitem, bem como a manutenção das referidas contas ativas e inativas.;X;-;-;X;-;X
150208;Abertura de contas em geral no exterior, não abrangida em outro subitem, bem como a manutenção das referidas contas ativas e inativas.;X;-;-;X;-;X
150301;Locação de cofres particulares.;X;-;-;X;-;X
150302;Manutenção de cofres particulares.;X;-;-;X;-;X
150303;Locação de terminais eletrônicos.;X;-;-;X;-;X
150304;Manutenção de terminais eletrônicos.;X;-;-;X;-;X
150305;Locação de terminais de atendimento.;X;-;-;X;-;X
150306;Manutenção de terminais de atendimento.;X;-;-;X;-;X
150307;Locação de bens e equipamentos em geral.;X;-;-;X;-;X
150308;Manutenção de bens e equipamentos em geral.;X;-;-;X;-;X
150401;Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.;X;-;-;X;-;X
150501;Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres.;X;-;-;X;-;X
150502;Inclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF.;X;-;-;X;-;X
150503;Exclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF.;X;-;-;X;-;X
150504;Inclusão em quaisquer outros bancos cadastrais.;X;-;-;X;-;X
150505;Exclusão em quaisquer outros bancos cadastrais.;X;-;-;X;-;X
150601;Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral;X;-;-;X;-;X
150602;Abono de firmas.;X;-;-;X;-;X
150603;Coleta e entrega de documentos, bens e valores.;X;-;-;X;-;X
150604;Comunicação com outra agência ou com a administração central.;X;-;-;X;-;X
150605;Licenciamento eletrônico de veículos.;X;-;-;X;-;X
150606;Transferência de veículos.;X;-;-;X;-;X
150607;Agenciamento fiduciário ou depositário.;X;-;-;X;-;X
150608;Devolução de bens em custódia.;X;-;-;X;-;X
150701;Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex.;X;-;-;X;-;X
150702;Acesso a terminais de atendimento, inclusive vinte e quatro horas.;X;-;-;X;-;X
150703;Acesso a outro banco e à rede compartilhada.;X;-;-;X;-;X
150704;Fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.;X;-;-;X;-;X
150801;Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito.;X;-;-;X;-;X
150802;Estudo, análise e avaliação de operações de crédito.;X;-;-;X;-;X
150803;Emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres.;X;-;-;X;-;X
150804;Serviços relativos à abertura de crédito, para quaisquer fins.;X;-;-;X;-;X
150901;Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).;X;-;-;X;-;X
151001;Serviços relacionados a cobranças em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento.;X;-;-;X;-;X
151002;Serviços relacionados a recebimentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento.;X;-;-;X;-;X
151003;Serviços relacionados a pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento.;X;-;-;X;-;X
151004;Serviços relacionados a fornecimento de posição de cobrança, recebimento ou pagamento.;X;-;-;X;-;X
151005;Serviços relacionados a emissão de carnês, fichas de compensação, impressos e documentos em geral.;X;-;-;X;-;X
151101;Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados.;X;-;-;X;-;X
151201;Custódia em geral, inclusive de títulos e valores mobiliários.;X;-;-;X;-;X
151301;Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio.;X;-;-;X;-;X
151302;Serviços relacionados a emissão de registro de exportação ou de crédito.;X;-;-;X;-;X
151303;Serviços relacionados a cobrança ou depósito no exterior.;X;-;-;X;-;X
151304;Serviços relacionados a emissão, fornecimento e cancelamento de cheques de viagem.;X;-;-;X;-;X
151305;Serviços relacionados a fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas.;X;-;-;X;-;X
151306;Serviços relacionados a envio e recebimento de mensagens em geral relacionadas a operações de câmbio.;X;-;-;X;-;X
151401;Fornecimento, emissão, reemissão de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.;X;-;-;X;-;X
151402;Renovação de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.;X;-;-;X;-;X
151403;Manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.;X;-;-;X;-;X
151501;Compensação de cheques e títulos quaisquer.;X;-;-;X;-;X
151502;Serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento.;X;-;-;X;-;X
151601;Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo.;X;-;-;X;-;X
151602;Serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.;X;-;-;X;-;X
151701;Emissão e fornecimento de cheques quaisquer, avulso ou por talão.;X;-;-;X;-;X
151702;Devolução de cheques quaisquer, avulso ou por talão.;X;-;-;X;-;X
151703;Sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.;X;-;-;X;-;X
151801;Serviços relacionados a crédito imobiliário, de avaliação e vistoria de imóvel ou obra.;X;-;-;X;-;X
151802;Serviços relacionados a crédito imobiliário, de análise técnica e jurídica.;X;-;-;X;-;X
151803;Serviços relacionados a crédito imobiliário, de emissão, reemissão, alteração, transferência e renegociação de contrato.;X;-;-;X;-;X
151804;Serviços relacionados a crédito imobiliário, de emissão e reemissão do termo de quitação.;X;-;-;X;-;X
151805;Demais serviços relacionados a crédito imobiliário.;X;-;-;X;-;X
160101;Serviços de transporte coletivo municipal rodoviário de passageiros.;-;X;-;X;-;X
160102;Serviços de transporte coletivo municipal metroviário de passageiros.;-;X;-;X;-;X
160103;Serviços de transporte coletivo municipal ferroviário de passageiros.;-;X;-;X;-;X
160104;Serviços de transporte coletivo municipal aquaviário de passageiros.;-;X;-;X;-;X
160201;Outros serviços de transporte de natureza municipal.;-;X;-;X;-;X
